date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:58	5446/5446	---MCZ	200	added ('OK')	text/html	etag:W/%22b66be92252ec85e8aa9490ae4dc44bc8%22	https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1	C:/Users/PC-Acer/Desktop/test/www.fightout.com/ene5ef.html	(from )
07:45:59	2443/2443	---MCZ	200	added ('OK')	text/html	etag:W/%22b66be92252ec85e8aa9490ae4dc44bc8%22	https://www.fightout.com/robots.txt		(from )
07:45:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Feb%202023%2007:45:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/PC-Acer/Desktop/test/www.googletagmanager.com/gtm.15445.delayed	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:45:59	9138/9138	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ffd70753209ca4d09cfef90e7c44df3%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/Users/PC-Acer/Desktop/test/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2007:45:57%20GMT	http://www.fightout.com/logo.png	C:/Users/PC-Acer/Desktop/test/www.fightout.com/logo.3.delayed	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:00	622/622	---M--	200	added ('OK')	image/png	etag:%223f3e09bd8e9778e97c93caef6e5d1cd6%22	https://www.fightout.com/logo.png	C:/Users/PC-Acer/Desktop/test/www.fightout.com/logo.png	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:00	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-er7QcON84GDApWFXXx1Bp/JI/HQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/css/bootstrap.min.css	C:/Users/PC-Acer/Desktop/test/cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/css/bootstrap.min.css	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2007:45:58%20GMT	http://www.fightout.com/styles.d805838a1ea46bc9.css	C:/Users/PC-Acer/Desktop/test/www.fightout.com/styles.d805838a1ea46bc9.css	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:02	80496/80496	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a70-XI9suYM5fetlZzuWGoZXz9YROtk%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/js/bootstrap.bundle.min.js	C:/Users/PC-Acer/Desktop/test/cdn.jsdelivr.net/npm/bootstrap@5.2.2/dist/js/bootstrap.bundle.min.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2007:46:00%20GMT	http://www.fightout.com/runtime.6492e2c31a8ff5f8.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/runtime.6492e2c31a8ff5f8.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:03	403299/403299	---MCZ	200	added ('OK')	text/css	etag:W/%225aada00bec993d32cdddb3f08b468c87%22	https://www.fightout.com/styles.d805838a1ea46bc9.css	C:/Users/PC-Acer/Desktop/test/www.fightout.com/styles.d805838a1ea46bc9.css	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2007:46:02%20GMT	http://www.fightout.com/polyfills.a3c8ae0ffa55ec97.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/polyfills.a3c8ae0ffa55ec97.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:04	3105/3105	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d87d3921ddee5b7a0db1fd86960771%22	https://www.fightout.com/runtime.6492e2c31a8ff5f8.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/runtime.6492e2c31a8ff5f8.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2007:46:02%20GMT	http://www.fightout.com/main.5e4fd92702ba8050.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/main.5e4fd92702ba8050.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:04	63168/63168	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fc07ff5b262533a44ea73accad24847%22	https://www.fightout.com/polyfills.a3c8ae0ffa55ec97.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/polyfills.a3c8ae0ffa55ec97.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:05	1811203/1811203	---MCZ	200	added ('OK')	application/javascript	etag:W/%224cd5aa396c2c1e854a46e24a7f414477%22	https://www.fightout.com/main.5e4fd92702ba8050.js	C:/Users/PC-Acer/Desktop/test/www.fightout.com/main.5e4fd92702ba8050.js	(from https://www.fightout.com/en?clickId=fx_b22074_eae1692565d9cfc0c892f52c2d7c73d4_1)
07:46:05	5446/5446	---MCZ	200	added ('OK')	text/html	etag:W/%22b66be92252ec85e8aa9490ae4dc44bc8%22	https://www.fightout.com/	C:/Users/PC-Acer/Desktop/test/www.fightout.com/index.html	(from https://www.fightout.com/styles.d805838a1ea46bc9.css)
07:46:05	4976/4976	---M--	200	added ('OK')	image/png	etag:%224a37f8008959c75f619bf0a3a4e2d7a2%22	https://www.fightout.com/owl.video.play.e3b436436832b027.png	C:/Users/PC-Acer/Desktop/test/www.fightout.com/owl.video.play.e3b436436832b027.png	(from https://www.fightout.com/styles.d805838a1ea46bc9.css)
